tweet id,text,created at
1214637662054887425,"The Pokemon direct will consist of 
- Sword and shield dlc
- pokemon home shit 
- pokemon sleep shit 
- new spin off game?",2020-01-07 19:59:20+00:00
1214637138144354304,"Expectations for the Pokemon Direct:
Pokemon Home
Pokemon Sleep
Detective Pikachu
Hopes: 
Sword &amp; Shield DLC with Mythical Pokemon
Pokemon Mystery dungeon for the Switch
What i don't want: 
A new game announcement this early",2020-01-07 19:57:15+00:00
1214628473215619073,"Always surprises me to see these videos pop-up in no time! Kudos @GameXplain
Pokémon Direct PREDICTIONS - Sword &amp; Shield DLC, Smash Bros Fighter, Gen... https://t.co/4BkB4yQ9Rj via @YouTube",2020-01-07 19:22:49+00:00
1214627052671950849,"Pokemon Nintendo Direct January 2020? Pokemon Direct Predictions, Sword and Shield DLC, New Games?

https://t.co/lNgKxtHrJW

 . https://t.co/j9oYnqbOjB",2020-01-07 19:17:10+00:00
1214620872029413381,"What I want out of the Pokémon Direct: 

1. Pokémon snap 2, duh
2. A weird spin off that makes us feel like we’re in the Pokémon world
3. Pokemon sleep details
4. I guess sword and shield DLC would be cool or a third bow and arrow game would be okay I guess too?
#PokemonDirect",2020-01-07 18:52:37+00:00
1214613185296244736,"@NintendoAmerica Another bomb like Sword and Shield (DLC for try anything for a better game... no way), Pokémon Prison ""a.k.a Home"" or 4th gen remake! No believe in great news!

Need more popcorn from MJ for see next episodes",2020-01-07 18:22:04+00:00
1214611366994153472,@aDrive_tK Hoping for the Sword and Shield DLC and the Diamond and Pearl remakes.,2020-01-07 18:14:50+00:00
1214608189318205442,"What I would expect from most likely to least likely IMO;

-Pokemon Home
-Pokemon Sleep
-Sword and Shield G-Max Raid update for next week
-Spinoff Game Stuff (Pokken DLC, new PMD game, etc)
-DP remakes
-Sword and Shield DLC
-
-
-
-
-
-
-Smash",2020-01-07 18:02:13+00:00
1214607547371577346,"@Random_Factor Announcing sword and shield dlc, baby!",2020-01-07 17:59:40+00:00
1214607447224147971,@NinSwitchNews @PokemonGoNews @NintendoAmerica Sword and shield DLC for new area containing more mainstream competitive pokemon not yet in the galar dex?,2020-01-07 17:59:16+00:00
